popularity,duration,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,label
74.0,196.87392,0.18717,193.1784,-5.54,89.684,0.084,5,0.9410000000000001,4,0.47400000000000003,1,0.333,0.393,0.724,0.0825,0.06760000000000001,0.0,0.20500000000000002,0.147,196874,1
74.0,201.12,0.20898000000000003,196.84717,-2.437,124.028,0.65,4,1.0,8,0.445,1,0.297,0.781,0.8140000000000001,0.1,0.07350000000000001,1.9200000000000003e-05,0.0565,0.546,201120,1
69.0,171.09235,0.37202,164.58884,-3.296,102.937,0.884,4,1.0,7,0.503,1,0.586,0.81,0.604,0.09040000000000001,0.316,0.0514,0.0944,0.646,171092,1
51.0,208.16322,0.0,201.68272,-7.308,97.969,0.633,4,1.0,11,0.5730000000000001,1,0.447,0.867,0.425,0.291,0.23500000000000001,0.006470000000000001,0.126,0.41400000000000003,208163,0
57.0,142.08,0.0,137.36925,-6.399,125.259,0.537,4,1.0,11,0.686,0,0.783,0.558,0.718,0.0509,0.00489,2.9699999999999995e-06,0.262,0.379,142080,1
51.0,224.4277,0.0,216.36354,-9.725,83.152,0.403,4,1.0,6,0.662,1,0.705,0.556,0.329,0.0512,0.6990000000000001,5.2699999999999995e-06,0.109,0.34900000000000003,224428,0
74.0,174.54507,0.33619000000000004,168.9658,-7.284,99.982,0.47200000000000003,4,1.0,0,0.371,1,0.316,0.6970000000000001,0.653,0.10200000000000001,0.166,0.231,0.0911,0.627,174545,1
46.0,199.12,0.22644000000000003,194.17686,-7.264,151.954,0.317,4,0.929,9,0.251,0,0.425,0.721,0.5680000000000001,0.0412,0.0108,5.77e-05,0.109,0.315,199120,0
81.0,225.53333,0.19737000000000002,212.1259,-6.757,160.333,0.297,4,0.879,1,0.12,1,0.334,0.534,0.5730000000000001,0.41400000000000003,0.009260000000000001,0.0,0.136,0.373,225533,1
44.0,175.82951,0.0,158.93478,-9.825,110.174,0.325,4,1.0,9,0.8140000000000001,0,0.67,0.556,0.445,0.0488,0.541,4.35e-06,0.131,0.359,175830,0
64.0,148.76926,0.0,144.45714,-6.611,142.071,0.556,4,1.0,6,0.588,1,0.685,0.751,0.672,0.108,0.157,0.0,0.091,0.599,148769,1
61.0,156.45569,2.87347,146.16962,-12.028,79.024,0.252,4,1.0,6,0.008,1,0.341,0.675,0.318,0.027700000000000002,0.428,1.02e-06,0.0826,0.522,156456,1
80.0,181.39333,0.0,168.01959,-9.086,140.037,0.511,4,1.0,6,0.771,0,0.76,0.795,0.526,0.20400000000000001,0.067,2e-06,0.134,0.194,181393,1
54.0,111.84086,0.0,108.17016,-11.316,95.807,0.011,4,1.0,7,0.342,0,0.332,0.63,0.495,0.17200000000000001,0.6920000000000001,0.00013199999999999998,0.20600000000000002,0.744,111841,0
69.0,188.85448,0.20009000000000002,188.85446,-6.3870000000000005,87.054,0.391,4,1.0,6,0.177,1,0.486,0.765,0.402,0.0557,0.0178,1.84e-05,0.11,0.353,188854,1
62.0,110.78571,0.0,102.638,-13.8,139.948,0.742,4,0.963,9,0.042,1,0.187,0.898,0.493,0.133,0.022500000000000003,2.2999999999999996e-06,0.128,0.152,110786,1
49.0,187.54668,0.0,183.93108,-7.624,103.959,0.667,4,0.997,5,0.226,0,0.352,0.723,0.686,0.09230000000000001,0.0723,0.0008489999999999999,0.12,0.754,187547,0
78.0,226.46667,0.0,217.86122,-10.8,105.02,0.6980000000000001,4,0.932,6,0.101,0,0.297,0.645,0.534,0.047900000000000005,0.157,0.0,0.0863,0.463,226467,1
66.0,172.74776,0.0,168.1473,-2.37,107.977,0.9430000000000001,4,0.997,9,0.656,0,0.561,0.851,0.778,0.0431,0.139,0.196,0.0956,0.801,172748,1
73.0,209.76,0.19714,205.17152,-2.776,101.944,0.2,4,0.917,1,0.721,0,0.784,0.897,0.7000000000000001,0.117,0.0193,0.009000000000000001,0.12,0.755,209760,1
59.0,182.25488,0.11610000000000001,173.4937,-9.2,123.052,0.5630000000000001,4,1.0,0,0.396,1,0.46,0.734,0.538,0.146,0.253,0.0,0.229,0.461,182255,1
74.0,188.64522,3.21016,179.28127,-6.065,95.978,0.9440000000000001,4,1.0,2,0.649,1,0.643,0.6930000000000001,0.728,0.0335,0.017400000000000002,7.2e-06,0.061,0.655,188645,1
74.0,213.99184,0.46268000000000004,211.76018,-6.756,113.006,0.91,4,1.0,10,0.649,0,0.725,0.8270000000000001,0.705,0.0429,0.0813,0.005560000000000001,0.10200000000000001,0.624,213992,1
62.0,204.70703,0.10104,200.28372,-4.494,109.949,0.466,4,0.982,0,0.0,1,0.226,0.728,0.791,0.0468,0.0356,0.0,0.34,0.47000000000000003,204707,1
80.0,206.36118,0.22644000000000003,198.58865,-6.926,81.377,0.202,4,0.929,7,0.6900000000000001,1,0.5690000000000001,0.398,0.519,0.0315,0.057300000000000004,1.86e-05,0.191,0.133,206361,1
59.0,196.16219,0.0,191.45433,-9.283,100.044,0.08600000000000001,4,1.0,1,0.62,1,0.9570000000000001,0.751,0.391,0.0324,0.396,0.0034200000000000003,0.09290000000000001,0.468,196162,1
69.0,114.42794,0.0,111.41515,-10.277,122.008,0.9560000000000001,4,1.0,5,0.15,0,0.41400000000000003,0.834,0.402,0.07200000000000001,0.76,0.0,0.279,0.684,114428,1
80.0,96.0,0.0,96.0,-4.054,100.095,0.218,4,1.0,7,0.8190000000000001,1,0.41500000000000004,0.788,0.764,0.254,0.00918,0.0,0.224,0.841,96000,1
87.0,175.16322,0.10435000000000001,168.97742,-6.178,134.981,0.8240000000000001,4,0.72,0,0.545,1,0.661,0.601,0.787,0.031,0.0492,0.0,0.14200000000000002,0.525,175163,1
58.0,253.52,0.31769000000000003,242.56726,-6.641,189.788,0.085,4,0.996,5,0.373,0,0.603,0.28700000000000003,0.597,0.0419,0.273,0.0,0.105,0.31,253520,1
69.0,251.28085,0.34821,237.42984,-7.237,95.084,0.211,3,0.9510000000000001,8,0.32,1,0.499,0.589,0.605,0.0273,0.0658,0.0,0.332,0.503,251281,1
58.0,155.51723,0.08721000000000001,155.51723,-3.602,87.068,0.254,4,1.0,10,0.209,1,0.303,0.5760000000000001,0.736,0.07490000000000001,0.665,0.0,0.151,0.759,155517,1
62.0,165.0,0.15719000000000002,162.36552,-2.843,95.018,0.628,4,1.0,10,0.5740000000000001,1,0.442,0.893,0.757,0.0738,0.112,0.0634,0.107,0.681,165000,1
58.0,200.01474,0.1917,194.20009,-5.04,157.994,0.34900000000000003,4,1.0,8,0.0,1,0.257,0.405,0.8320000000000001,0.038,0.06810000000000001,0.0,0.0916,0.402,200015,1
62.0,195.25424,0.0,186.14278,-5.774,118.036,0.6910000000000001,4,1.0,1,0.328,0,0.443,0.8,0.545,0.0629,0.179,0.0,0.062200000000000005,0.34900000000000003,195254,1
73.0,155.56703,0.21583000000000002,152.07909,-5.871,159.91,0.289,4,1.0,11,0.314,0,0.442,0.616,0.557,0.0413,0.354,1.53e-06,0.34500000000000003,0.626,155567,1
55.0,206.13887,0.51678,206.13887,-7.865,199.967,0.092,4,0.968,11,0.608,1,0.633,0.25,0.515,0.057100000000000005,0.333,0.0,0.10200000000000001,0.39,206139,0
61.0,105.53673,0.0,99.23048,-5.401,170.169,0.539,4,1.0,2,0.514,1,0.36,0.598,0.877,0.112,0.105,0.0,0.0988,0.615,105537,1
68.0,132.02667,0.18580000000000002,126.96671,-3.33,125.966,0.772,4,0.974,11,0.256,0,0.371,0.8140000000000001,0.778,0.115,0.0368,0.0,0.635,0.933,132027,1
70.0,195.14455,3.58168,188.5112,-7.792,122.919,0.47400000000000003,4,0.5740000000000001,2,0.25,1,0.47100000000000003,0.56,0.41200000000000003,0.0298,0.583,0.0,0.188,0.297,195145,1
67.0,192.63692,0.19129000000000002,174.1961,-9.196,127.201,0.404,4,0.8200000000000001,2,0.519,1,0.561,0.591,0.333,0.029,0.122,0.0,0.124,0.377,192637,1
68.0,174.82567,0.0,170.25452,-7.243,128.082,0.891,4,0.978,8,0.47900000000000004,1,0.5740000000000001,0.735,0.6890000000000001,0.0297,0.045200000000000004,0.0,0.0635,0.392,174826,1
90.0,140.53333,0.22045,136.34177,-3.6710000000000003,91.007,0.232,4,1.0,7,0.622,0,0.672,0.7010000000000001,0.716,0.0361,0.17400000000000002,0.0,0.324,0.732,140533,1
67.0,126.0,0.24376000000000003,120.61025,-9.48,86.001,0.041,4,1.0,10,0.07100000000000001,1,0.254,0.591,0.6940000000000001,0.0597,0.315,0.0,0.47200000000000003,0.51,126000,1
82.0,169.67215,3.04181,166.44644,-4.879,122.023,0.626,4,1.0,6,0.932,1,0.726,0.673,0.729,0.049600000000000005,0.083,0.0,0.1,0.675,169672,1
55.0,176.01306,0.0,165.95302,-6.441,130.383,0.182,5,0.968,2,0.0,1,0.153,0.629,0.6980000000000001,0.343,0.14200000000000002,0.0,0.11800000000000001,0.5640000000000001,176013,0
62.0,178.22195,0.18653000000000003,171.88571,-5.018,110.865,0.765,4,1.0,1,0.178,0,0.461,0.669,0.629,0.08030000000000001,0.217,0.0,0.366,0.294,178222,1
62.0,186.14667,0.15660000000000002,182.16054,-5.436,163.946,0.516,4,0.774,6,0.774,1,0.669,0.42,0.9430000000000001,0.08080000000000001,0.0010500000000000002,0.0,0.276,0.484,186147,1
57.0,222.37288,0.0,214.2273,-2.499,177.04,0.023,4,0.925,2,0.0,0,0.088,0.445,0.8210000000000001,0.215,0.0614,8.789999999999999e-06,0.40900000000000003,0.331,222373,1
57.0,250.03279,0.0,240.04208,-5.177,145.75,0.077,4,0.904,0,0.643,1,0.635,0.419,0.604,0.032100000000000004,0.0356,0.0,0.0863,0.163,250033,1
37.0,328.43713,0.0,320.3483,0.899,178.036,0.51,4,1.0,11,0.421,0,0.403,0.729,0.964,0.21,0.00031,0.794,0.0906,0.114,328437,0
28.0,218.66667,0.0,212.8167,-1.604,180.011,0.167,4,1.0,11,0.909,1,0.603,0.707,0.9510000000000001,0.0771,0.0010400000000000001,0.931,0.153,0.442,218667,0
60.0,144.96,0.59184,134.88472,-9.850999999999999,153.024,0.274,4,0.99,4,0.34600000000000003,0,0.492,0.515,0.321,0.0742,0.841,5.75e-05,0.338,0.242,144960,1
61.0,174.56776,0.0,166.02267,-8.485,132.925,0.167,4,1.0,7,0.607,1,0.649,0.441,0.675,0.0855,0.011,0.0,0.362,0.614,174568,1
28.0,158.18181,0.45859000000000005,150.25633,-5.98,131.999,0.4,4,1.0,1,0.319,1,0.544,0.6930000000000001,0.864,0.08950000000000001,0.598,0.0,0.164,0.5630000000000001,158182,0
83.0,187.29333,0.0,169.0761,-9.227,144.727,0.245,4,0.934,8,0.325,0,0.536,0.56,0.41000000000000003,0.027600000000000003,0.544,0.0,0.151,0.28,187293,1
51.0,257.24136,0.0,243.04907,-3.981,173.964,0.262,4,1.0,5,0.35100000000000003,0,0.599,0.651,0.74,0.0426,0.0184,0.10200000000000001,0.106,0.366,257241,0
48.0,213.55103,0.16821000000000003,211.0984,-7.353,113.873,0.157,5,1.0,3,0.14200000000000002,0,0.077,0.547,0.6900000000000001,0.259,0.012100000000000001,0.0,0.0675,0.362,213551,0
37.0,325.51727,0.0,295.83963,-2.887,173.966,0.369,4,1.0,4,0.0,1,0.009000000000000001,0.6990000000000001,0.9510000000000001,0.121,0.10400000000000001,8.04e-06,0.23700000000000002,0.297,325517,0
41.0,146.84448,2.06077,144.19011,-11.153,131.482,0.666,4,1.0,5,0.353,0,0.41300000000000003,0.76,0.537,0.40800000000000003,0.605,4.0300000000000004e-05,0.247,0.548,146844,0
65.0,187.0039,2.70512,178.34087,-4.229,100.005,0.29,4,0.997,1,0.4,0,0.503,0.651,0.794,0.0795,0.128,0.0,0.0755,0.265,187004,1
43.0,190.17307,0.0,182.19537,-12.093,129.949,0.41200000000000003,4,1.0,10,0.30000000000000004,0,0.441,0.761,0.48,0.154,0.0981,2.33e-06,0.0947,0.601,190173,0
43.0,270.85715,0.0,262.68155,0.067,175.085,0.223,4,1.0,5,0.8180000000000001,1,0.637,0.729,0.962,0.28600000000000003,0.048100000000000004,0.000289,0.08710000000000001,0.5680000000000001,270857,0
53.0,249.6552,0.0,242.10286,0.377,174.021,0.724,4,1.0,6,0.0,1,0.032,0.638,0.994,0.168,0.0177,0.669,0.111,0.0368,249655,0
48.0,192.0,0.0,185.45778,-6.598,130.031,0.605,4,0.985,10,0.261,0,0.363,0.679,0.839,0.0414,0.027200000000000002,0.0543,0.33,0.601,192000,0
50.0,184.42667,0.19156,179.438,-3.556,128.004,0.895,4,1.0,5,0.497,0,0.549,0.8310000000000001,0.927,0.0787,0.194,1.32e-06,0.153,0.452,184427,0
41.0,163.94667,0.20331000000000002,153.87283,-8.487,89.023,0.5750000000000001,4,1.0,2,0.559,1,0.465,0.547,0.594,0.22,0.113,0.0,0.156,0.339,163947,0
73.0,168.16258,0.24376000000000003,163.8458,-5.442,88.024,0.365,4,1.0,2,0.297,1,0.6000000000000001,0.704,0.7010000000000001,0.0594,0.058,0.0,0.127,0.592,168163,1
54.0,189.69333,0.5340100000000001,183.90785,-3.004,149.966,0.263,4,0.6940000000000001,0,0.234,1,0.537,0.5760000000000001,0.837,0.0592,0.0154,0.0,0.24,0.466,189693,0
47.0,198.87099,0.23220000000000002,184.3084,-5.006,127.836,0.227,4,1.0,2,0.5630000000000001,1,0.719,0.422,0.523,0.037,0.189,0.0,0.219,0.338,198871,0
31.0,271.54285,0.0,262.8383,-1.012,175.236,0.224,4,1.0,1,0.631,1,0.363,0.461,0.9550000000000001,0.33,0.000548,0.212,0.133,0.23600000000000002,271543,0
83.0,204.97333,4.17379,196.59755,-3.412,106.962,0.599,4,1.0,11,0.71,0,0.649,0.599,0.8160000000000001,0.055600000000000004,0.0911,2.17e-06,0.0961,0.399,204973,1
41.0,145.64925,0.0,130.53677,-5.984,115.167,0.715,4,0.983,11,0.098,1,0.461,0.542,0.687,0.327,0.186,0.000655,0.11900000000000001,0.321,145649,0
49.0,218.05968,0.20014,208.89832,-11.237,133.99,0.31,4,0.647,3,0.715,1,0.649,0.6970000000000001,0.192,0.038400000000000004,0.86,0.0,0.147,0.361,218060,0
13.0,304.86667,0.99528,291.19565,-5.591,132.165,0.933,4,1.0,2,0.0,1,0.185,0.711,0.92,0.21,0.013000000000000001,0.0017900000000000001,0.246,0.5700000000000001,304867,0
19.0,192.0,0.0,192.0,-6.548,129.964,0.505,4,1.0,11,0.135,0,0.264,0.712,0.718,0.343,0.291,6.450000000000001e-05,0.227,0.524,192000,0
54.0,205.68,0.64422,200.39401,-3.317,94.001,0.385,4,0.429,0,0.403,0,0.468,0.705,0.635,0.027800000000000002,0.428,0.0,0.096,0.741,205680,0
49.0,197.14667,0.81147,197.14667,-5.144,92.987,0.359,4,0.99,0,0.736,1,0.738,0.584,0.468,0.027100000000000003,0.67,0.0,0.126,0.767,197147,0
42.0,219.45074,4.16218,214.75555,-4.101,125.506,0.72,3,0.093,10,0.604,1,0.331,0.494,0.767,0.051000000000000004,0.121,0.0,0.374,0.112,219451,0
61.0,157.25333,0.57465,153.19365,-4.641,107.965,0.6930000000000001,4,1.0,9,0.617,1,0.525,0.767,0.597,0.0912,0.47400000000000003,6.28e-06,0.792,0.764,157253,1
62.0,196.15375,0.0,190.58939,-6.93,89.983,0.9470000000000001,4,1.0,0,0.606,1,0.6000000000000001,0.732,0.608,0.0883,0.0158,3.51e-05,0.317,0.661,196154,1
84.0,146.26666,0.12186000000000001,140.40526,-7.753,96.571,0.26,4,0.996,8,0.53,1,0.74,0.588,0.39,0.057800000000000004,0.726,1.2600000000000001e-05,0.0965,0.20600000000000002,146267,1
61.0,170.31937,0.27288,167.72934,-3.91,119.991,0.868,4,0.898,8,1.0,1,0.77,0.73,0.8220000000000001,0.0502,0.0785,0.0,0.0858,0.783,170319,1
38.0,223.62666,2.33941,218.15147,-3.513,131.987,0.91,4,1.0,1,0.309,1,0.274,0.839,0.996,0.055,0.0112,0.09430000000000001,0.259,0.367,223627,0
50.0,177.66667,2.26395,167.86867,-7.069,93.011,0.058,4,1.0,10,0.356,0,0.453,0.651,0.656,0.07490000000000001,0.023,0.0,0.125,0.584,177667,0
87.0,161.26666,0.20304000000000003,153.82639,-4.179,125.034,0.8130000000000001,4,0.975,0,0.376,1,0.5630000000000001,0.685,0.886,0.034,0.028,0.0,0.481,0.615,161267,1
80.0,191.24998,0.33664000000000005,183.48409,-4.041,88.084,0.123,4,1.0,11,0.272,1,0.47600000000000003,0.7000000000000001,0.613,0.0408,0.385,0.0,0.0887,0.42,191250,1
30.0,277.24136,0.0,264.34177,-0.356,173.934,0.149,4,0.9380000000000001,9,0.0,1,0.043000000000000003,0.492,0.975,0.059300000000000005,0.0034800000000000005,0.0025900000000000003,0.34900000000000003,0.17500000000000002,277241,0
79.0,214.25333,0.68,210.43085,-2.275,114.942,0.775,4,0.995,2,0.417,0,0.49,0.738,0.89,0.0748,0.08950000000000001,1.8900000000000001e-06,0.213,0.75,214253,1
53.0,290.039,0.0,280.50867,-6.593,173.995,0.759,4,0.965,2,0.263,1,0.299,0.632,0.708,0.0575,0.0731,0.503,0.215,0.444,290039,0
30.0,249.46939,0.36576000000000003,228.11864,-5.072,79.026,0.006,3,0.053,1,0.0,1,0.269,0.548,0.805,0.5680000000000001,0.47200000000000003,0.0,0.0855,0.848,249469,0
33.0,210.72,0.10413000000000001,201.74658,-4.359,105.017,0.762,4,1.0,9,0.01,0,0.224,0.739,0.871,0.138,0.019700000000000002,0.0,0.135,0.774,210720,0
27.0,214.15382,0.38313,207.02911,-5.249,129.995,0.929,4,1.0,1,0.259,1,0.427,0.836,0.6950000000000001,0.179,0.177,0.0005,0.09720000000000001,0.745,214154,0
29.0,179.20789,0.06961,175.79247,-3.032,173.971,0.5630000000000001,4,1.0,7,0.507,0,0.554,0.636,0.851,0.0434,0.00847,0.0444,0.10200000000000001,0.341,179208,0
75.0,167.69333,0.21483000000000002,157.6693,-4.644,89.991,0.281,4,0.923,10,0.194,1,0.297,0.654,0.63,0.025900000000000003,0.149,0.0,0.111,0.43,167693,1
65.0,162.541,0.0,157.80862,-6.97,122.051,0.719,4,1.0,10,0.462,1,0.531,0.6950000000000001,0.74,0.0371,0.0155,0.0,0.14300000000000002,0.455,162541,1
54.0,160.88,0.54612,151.49278,-7.678,109.953,0.706,4,1.0,8,0.651,0,0.404,0.683,0.805,0.106,0.343,0.0,0.109,0.6920000000000001,160880,0
43.0,231.08571,0.27279000000000003,220.1542,-1.604,174.982,0.154,4,1.0,6,0.295,1,0.323,0.6890000000000001,0.885,0.146,0.00034399999999999996,0.00214,0.132,0.24,231086,0
69.0,220.94826,0.0,220.94826,-4.015,87.002,0.494,4,1.0,9,0.211,1,0.314,0.803,0.743,0.0994,0.007680000000000001,2.36e-06,0.107,0.645,220948,1
64.0,200.28214,0.0,193.0565,-4.743,130.005,0.241,4,0.924,3,1.0,1,0.9450000000000001,0.527,0.41500000000000004,0.0303,0.264,0.0,0.093,0.341,200282,1
37.0,253.79669,0.0,246.38113,-4.423,173.991,0.20700000000000002,4,1.0,1,0.537,0,0.376,0.743,0.8260000000000001,0.155,0.027100000000000003,0.637,0.48,0.406,253797,0
54.0,163.7094,0.0,157.15265,-14.996,176.096,0.065,4,0.9380000000000001,6,0.429,0,0.398,0.624,0.465,0.587,0.551,0.0,0.0947,0.483,163709,0
57.0,174.3064,2.58902,167.47974,-5.659,78.51,0.033,4,1.0,7,0.393,0,0.491,0.61,0.802,0.033800000000000004,0.027600000000000003,0.0,0.116,0.787,174306,1
50.0,159.49365,0.0,156.81596,-11.023,157.938,0.399,4,1.0,1,0.8200000000000001,1,0.248,0.713,0.46,0.338,0.0734,0.0,0.162,0.40700000000000003,159494,0
70.0,168.89687,0.09918,164.81525,-8.937,125.939,0.844,4,1.0,1,0.8280000000000001,1,0.644,0.896,0.459,0.051500000000000004,0.0737,8.410000000000001e-05,0.0981,0.484,168897,1
47.0,139.61806,0.0,137.02095,-5.561,125.005,0.852,4,0.859,1,0.788,1,0.658,0.719,0.967,0.0431,0.0188,0.0037300000000000002,0.297,0.898,139618,0
53.0,248.37587,0.09297000000000001,240.15237,-2.924,174.027,0.8220000000000001,4,0.86,1,0.13,1,0.307,0.378,0.992,0.0402,0.0046700000000000005,0.68,0.108,0.331,248376,0
54.0,209.6552,0.0,198.0488,-5.348,174.005,0.258,4,1.0,6,0.0,1,0.272,0.59,0.89,0.08,0.000403,0.0118,0.105,0.486,209655,0
57.0,185.61537,0.0,178.79366,-6.057,130.254,0.39,4,1.0,1,0.34800000000000003,1,0.459,0.767,0.493,0.17500000000000002,0.0999,1.29e-06,0.113,0.55,185615,1
57.0,178.77547,0.31061000000000005,176.43102,-8.21,97.966,0.795,4,1.0,5,0.05,1,0.585,0.803,0.519,0.0359,0.085,7.76e-05,0.306,0.644,178775,1
42.0,261.72348,0.0,250.0673,-2.961,132.039,0.848,4,1.0,1,0.364,1,0.277,0.739,0.799,0.328,0.00975,0.23800000000000002,0.138,0.579,261723,0
74.0,151.27274,0.0,142.73888,-3.656,165.217,0.401,4,1.0,7,0.722,1,0.726,0.741,0.932,0.377,0.014,0.0,0.294,0.788,151273,1
