danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
0.807,0.501,0.037700000000000004,0.645,1.5300000000000003e-05,0.262,0.401
0.535,0.402,0.031,0.000748,0.734,0.08120000000000001,0.0862
0.394,0.398,0.219,0.5730000000000001,0.0,0.313,0.361
0.40700000000000003,0.854,0.0625,0.02,6.900000000000001e-05,0.137,0.335
0.766,0.8170000000000001,0.035,0.0239,2.4900000000000003e-06,0.159,0.43
0.668,0.626,0.315,0.0833,0.011600000000000001,0.0782,0.679
0.834,0.663,0.133,0.23500000000000001,0.0,0.372,0.774
0.683,0.47800000000000004,0.07440000000000001,0.422,1.17e-05,0.24,0.373
0.74,0.669,0.076,0.361,2.1800000000000005e-05,0.17500000000000002,0.922
0.483,0.643,0.040400000000000005,0.0135,7.04e-05,0.361,0.219
0.838,0.838,0.0897,0.0456,0.0,0.0887,0.389
0.378,0.587,0.163,0.232,0.0,0.455,0.498
0.668,0.8160000000000001,0.0367,0.0557,1.02e-06,0.197,0.5
0.533,0.963,0.106,0.0315,0.00039299999999999996,0.0707,0.592
0.806,0.513,0.0685,0.217,0.0,0.217,0.503
0.624,0.521,0.036500000000000005,0.805,0.0,0.112,0.382
0.441,0.59,0.0514,0.242,0.0,0.34900000000000003,0.41100000000000003
0.462,0.8260000000000001,0.0718,0.107,0.0,0.179,0.615
0.39,0.514,0.029500000000000002,0.47500000000000003,0.0005949999999999999,0.116,0.313
0.539,0.587,0.0371,0.000527,0.0,0.171,0.429
0.557,0.595,0.0371,0.000325,8.88e-06,0.109,0.199
0.673,0.659,0.0439,0.539,0.0,0.129,0.628
0.362,0.485,0.034300000000000004,0.766,5.74e-06,0.111,0.305
0.377,0.637,0.045700000000000005,0.0025900000000000003,9.03e-05,0.08030000000000001,0.261
0.788,0.652,0.405,0.373,0.0,0.755,0.812
0.498,0.449,0.126,0.644,0.0,0.08360000000000001,0.297
0.757,0.775,0.121,0.030500000000000003,0.0,0.0999,0.713
0.873,0.537,0.0587,0.211,0.0,0.292,0.594
0.603,0.551,0.0304,0.06960000000000001,0.0976,0.192,0.439
0.5760000000000001,0.679,0.034,0.031100000000000003,0.0,0.323,0.213
0.717,0.6920000000000001,0.0723,0.0675,0.0,0.088,0.524
0.593,0.437,0.055200000000000006,0.6990000000000001,0.0,0.09190000000000001,0.484
0.481,0.512,0.026000000000000002,0.496,0.0,0.157,0.314
0.403,0.443,0.0284,0.307,0.0,0.165,0.226
0.56,0.851,0.048600000000000004,0.225,2.8999999999999998e-06,0.177,0.461
0.632,0.762,0.0689,0.17300000000000001,0.0,0.27,0.844
0.597,0.655,0.0614,0.027200000000000002,2.46e-05,0.438,0.378
0.782,0.798,0.0337,0.14100000000000001,0.0,0.685,0.905
0.5660000000000001,0.47400000000000003,0.0978,0.839,0.0,0.112,0.377
0.73,0.842,0.125,0.0275,0.0008500000000000001,0.367,0.66
0.609,0.614,0.028800000000000003,0.013800000000000002,0.006730000000000001,0.166,0.361
0.532,0.854,0.115,0.00385,0.0,0.0443,0.315
0.486,0.838,0.061700000000000005,0.0523,0.0,0.0845,0.664
0.8130000000000001,0.468,0.055600000000000004,0.157,0.0,0.0726,0.595
0.619,0.838,0.07590000000000001,0.0437,0.0,0.0834,0.717
0.589,0.858,0.25,0.0734,0.0,0.168,0.651
0.517,0.712,0.0376,0.092,0.0,0.109,0.6990000000000001
0.584,0.8210000000000001,0.030500000000000003,0.01,0.0,0.196,0.5710000000000001
0.535,0.859,0.0344,0.0528,0.0,0.32,0.6980000000000001
0.731,0.793,0.07440000000000001,0.291,0.0,0.14,0.752
0.747,0.8290000000000001,0.106,0.101,0.0,0.168,0.793
0.394,0.787,0.0487,0.0025900000000000003,5.42e-05,0.09230000000000001,0.0848
0.434,0.889,0.0509,0.395,0.0,0.273,0.845
0.8280000000000001,0.638,0.0767,0.28500000000000003,7.27e-05,0.133,0.525
0.678,0.528,0.0551,0.289,0.0,0.0734,0.614
0.73,0.771,0.0534,0.032100000000000004,0.0,0.127,0.6890000000000001
0.539,0.708,0.0976,0.0129,0.0,0.14,0.381
0.6920000000000001,0.835,0.06280000000000001,0.0517,0.0,0.134,0.5660000000000001
0.448,0.911,0.049100000000000005,0.00107,0.555,0.37,0.030500000000000003
0.682,0.6940000000000001,0.0391,0.232,1.5000000000000002e-05,0.0736,0.23700000000000002
0.634,0.764,0.0297,0.00354,0.0,0.337,0.736
0.665,0.628,0.026000000000000002,0.00502,2.0200000000000003e-05,0.0947,0.551
0.682,0.922,0.042100000000000005,0.00956,0.00215,0.0626,0.266
0.8150000000000001,0.71,0.046900000000000004,0.129,0.528,0.113,0.5720000000000001
0.676,0.865,0.0412,0.0347,0.00047599999999999997,0.117,0.394
0.623,0.683,0.0437,0.0995,0.0,0.372,0.747
0.787,0.833,0.0478,0.018000000000000002,0.007470000000000001,0.0374,0.796
0.562,0.765,0.21,0.613,0.0,0.07740000000000001,0.707
0.47100000000000003,0.846,0.038900000000000004,0.0027900000000000004,2.8599999999999997e-06,0.145,0.539
0.759,0.459,0.09480000000000001,0.0032300000000000002,0.0,0.0906,0.6950000000000001
0.8270000000000001,0.605,0.0509,0.023700000000000002,1.6800000000000002e-05,0.111,0.9380000000000001
0.721,0.617,0.0386,0.507,0.0,0.252,0.902
0.641,0.922,0.0927,0.136,0.0,0.41400000000000003,0.793
0.754,0.8280000000000001,0.0879,0.068,1.42e-06,0.116,0.34400000000000003
0.754,0.763,0.043500000000000004,0.030100000000000002,2.2300000000000003e-05,0.0901,0.464
0.6940000000000001,0.52,0.0339,0.308,0.0031500000000000005,0.0897,0.185
0.785,0.5710000000000001,0.10300000000000001,0.8270000000000001,7.12e-06,0.0839,0.423
0.522,0.8180000000000001,0.09970000000000001,0.0601,0.0,0.031,0.5
0.628,0.632,0.0325,0.257,0.0,0.28800000000000003,0.559
0.893,0.391,0.0512,0.234,0.0,0.138,0.358
0.501,0.843,0.043000000000000003,0.055,0.00017199999999999998,0.138,0.454
0.743,0.8320000000000001,0.0611,0.161,0.0,0.0925,0.801
0.403,0.711,0.056900000000000006,0.137,0.0,0.109,0.801
0.5720000000000001,0.797,0.0497,0.0949,0.0,0.259,0.598
0.643,0.558,0.0477,0.746,0.209,0.135,0.23800000000000002
0.5700000000000001,0.892,0.0509,0.0183,1.16e-05,0.108,0.301
0.716,0.764,0.0877,0.123,0.0,0.0623,0.584
0.535,0.54,0.037700000000000004,0.053700000000000005,0.0,0.332,0.266
0.4,0.485,0.0369,0.0789,0.0,0.135,0.211
0.5680000000000001,0.788,0.037700000000000004,0.010100000000000001,0.0,0.14100000000000001,0.46
0.649,0.758,0.058100000000000006,0.0364,4.1200000000000005e-05,0.36,0.737
0.721,0.666,0.0408,0.0687,0.0,0.045,0.739
0.561,0.772,0.033100000000000004,0.332,1.08e-06,0.314,0.255
0.671,0.782,0.0341,0.0142,0.00221,0.333,0.618
0.686,0.8140000000000001,0.036000000000000004,0.008960000000000001,0.000196,0.187,0.48
0.503,0.783,0.0385,0.0221,0.00223,0.14,0.213
0.811,0.678,0.0402,0.038200000000000005,0.0,0.132,0.884
0.715,0.8220000000000001,0.0323,0.0863,0.516,0.209,0.378
0.424,0.438,0.0553,0.617,0.0,0.08370000000000001,0.325
0.719,0.8310000000000001,0.029900000000000003,0.0431,0.00027299999999999997,0.0666,0.5760000000000001
0.758,0.382,0.0989,0.852,0.0,0.09430000000000001,0.841
0.713,0.676,0.027,0.037700000000000004,0.0,0.154,0.721
0.615,0.7010000000000001,0.0472,0.00302,0.0,0.0471,0.251
0.755,0.6890000000000001,0.030500000000000003,0.0693,0.0,0.394,0.638
0.591,0.719,0.215,0.0201,3.1699999999999997e-06,0.906,0.14200000000000002
0.6900000000000001,0.626,0.306,0.105,0.000335,0.0881,0.912
0.74,0.709,0.0674,0.0536,0.0,0.11,0.6900000000000001
0.756,0.6970000000000001,0.040100000000000004,0.182,0.0,0.333,0.9560000000000001
0.497,0.35100000000000003,0.0648,0.777,0.0,0.167,0.234
0.47800000000000004,0.8220000000000001,0.06420000000000001,0.101,6.6e-05,0.12,0.309
0.766,0.706,0.16,0.223,0.00028000000000000003,0.064,0.766
0.6880000000000001,0.725,0.044,0.0195,7.63e-06,0.0726,0.225
0.538,0.36,0.0487,0.77,7.82e-06,0.09960000000000001,0.148
0.806,0.5650000000000001,0.113,0.47000000000000003,0.0,0.0824,0.311
0.735,0.6890000000000001,0.051300000000000005,0.0038100000000000005,0.0014600000000000001,0.40900000000000003,0.71
0.491,0.445,0.0688,0.214,0.0,0.0684,0.124
0.705,0.73,0.08940000000000001,0.171,2.4200000000000002e-05,0.294,0.616
0.757,0.542,0.0385,0.34400000000000003,0.029500000000000002,0.115,0.835
0.731,0.403,0.311,0.4,0.0,0.17300000000000001,0.549
0.652,0.861,0.0565,0.007430000000000001,2.25e-05,0.337,0.333
0.504,0.76,0.0426,0.28600000000000003,0.0,0.151,0.64
0.6930000000000001,0.853,0.050300000000000004,0.0032900000000000004,0.000193,0.123,0.432
0.659,0.877,0.028800000000000003,0.0878,0.0,0.094,0.47100000000000003
0.632,0.731,0.0356,0.032100000000000004,5.160000000000001e-05,0.317,0.0796
0.682,0.42,0.033100000000000004,0.786,0.0,0.275,0.5690000000000001
0.581,0.519,0.0946,0.0137,6.860000000000001e-05,0.08080000000000001,0.267
0.273,0.517,0.0313,0.0801,0.0,0.0984,0.16
0.654,0.898,0.0413,0.0844,0.0347,0.316,0.722
0.868,0.795,0.269,0.0012000000000000001,0.0193,0.0461,0.8190000000000001
0.895,0.468,0.378,0.342,0.0,0.213,0.428
0.352,0.424,0.039400000000000004,0.733,2.3e-05,0.0664,0.14100000000000001
0.523,0.8,0.101,0.005370000000000001,0.0,0.398,0.604
0.881,0.493,0.0476,0.0034200000000000003,0.583,0.0664,0.961
0.635,0.554,0.034300000000000004,0.134,0.0,0.116,0.315
0.749,0.6950000000000001,0.139,0.41300000000000003,0.0,0.111,0.505
0.8290000000000001,0.512,0.187,0.492,0.0,0.12,0.638
0.527,0.79,0.07880000000000001,0.016,0.0,0.37,0.23600000000000002
0.807,0.625,0.35100000000000003,0.0741,0.0,0.487,0.871
0.8260000000000001,0.583,0.0626,0.441,0.0,0.155,0.539
0.53,0.759,0.0351,0.009840000000000002,0.0,0.319,0.502
0.579,0.934,0.0473,0.0145,0.023100000000000002,0.183,0.6990000000000001
0.705,0.613,0.123,0.262,6.969999999999999e-06,0.198,0.259
0.707,0.735,0.0362,0.008960000000000001,4.78e-05,0.043300000000000005,0.762
0.747,0.665,0.167,0.07830000000000001,1.58e-06,0.786,0.76
0.369,0.272,0.0364,0.866,0.0,0.147,0.218
0.74,0.517,0.0506,0.0183,0.0,0.0558,0.6980000000000001
0.386,0.426,0.0363,0.807,0.0,0.14,0.261
0.652,0.864,0.0325,0.0013800000000000002,0.043300000000000005,0.0371,0.38
0.459,0.581,0.0713,0.316,0.0,0.124,0.49
0.865,0.457,0.07150000000000001,0.115,0.0,0.6000000000000001,0.733
0.643,0.617,0.0405,0.131,0.0,0.258,0.432
0.664,0.609,0.0707,0.304,0.0,0.0926,0.194
0.676,0.44,0.0646,0.6970000000000001,0.0,0.20500000000000002,0.17300000000000001
0.38,0.339,0.033800000000000004,0.6910000000000001,0.0,0.12,0.0849
0.799,0.493,0.25,0.0714,0.0,0.123,0.32
0.618,0.864,0.371,0.0969,0.0,0.19,0.597
0.41000000000000003,0.881,0.08700000000000001,0.000406,4.26e-05,0.922,0.357
0.678,0.746,0.128,0.0009939999999999999,0.00029299999999999997,0.061,0.431
0.855,0.492,0.0483,0.0775,6.709999999999999e-06,0.111,0.385
0.806,0.636,0.042,0.00515,0.0005300000000000001,0.109,0.783
0.6970000000000001,0.743,0.303,0.12,8.7e-05,0.326,0.523
0.332,0.225,0.034800000000000005,0.767,0.0034900000000000005,0.128,0.297
0.41300000000000003,0.64,0.0427,0.273,0.0,0.11,0.149
0.514,0.882,0.0862,0.0043,2.52e-06,0.156,0.424
0.498,0.931,0.0737,0.139,4.65e-06,0.111,0.731
0.332,0.737,0.0349,0.006960000000000001,0.0,0.0519,0.761
0.665,0.846,0.06860000000000001,0.0205,0.0,0.157,0.44
0.594,0.612,0.363,0.835,0.0,0.461,0.687
0.671,0.639,0.134,0.09280000000000001,0.0,0.0941,0.385
0.775,0.54,0.06720000000000001,0.127,1.8799999999999998e-06,0.252,0.114
0.893,0.759,0.309,0.00404,0.0,0.08650000000000001,0.498
0.883,0.606,0.23800000000000002,0.267,0.0,0.0952,0.495
0.672,0.717,0.226,0.10300000000000001,0.0,0.398,0.47300000000000003
0.577,0.971,0.0785,0.023100000000000002,1.1200000000000001e-05,0.226,0.273
0.684,0.672,0.0341,0.151,0.0,0.116,0.381
0.728,0.783,0.266,0.23700000000000002,0.0,0.434,0.555
0.779,0.487,0.165,0.28,0.0,0.166,0.0915
0.36,0.845,0.0344,0.0316,3.41e-05,0.063,0.231
0.533,0.9390000000000001,0.07060000000000001,0.0017800000000000001,0.0006789999999999999,0.396,0.406
0.499,0.761,0.034,0.209,2.72e-05,0.0998,0.168
0.53,0.517,0.399,0.387,0.0,0.176,0.381
0.443,0.72,0.0733,0.0669,0.0,0.09090000000000001,0.374
0.483,0.8200000000000001,0.052000000000000005,0.0149,1.7599999999999999e-06,0.101,0.275
0.539,0.797,0.163,0.0004919999999999999,4.219999999999999e-06,0.09720000000000001,0.114
0.661,0.726,0.13,0.20700000000000002,0.0,0.08020000000000001,0.47900000000000004
0.801,0.759,0.0494,0.0053100000000000005,0.0,0.091,0.293
0.499,0.908,0.081,0.0717,0.007810000000000001,0.157,0.123
0.784,0.601,0.11800000000000001,0.0155,0.0,0.122,0.22
0.803,0.624,0.0908,0.00206,0.00023899999999999998,0.363,0.669
0.718,0.628,0.373,0.0884,0.0,0.186,0.771
0.592,0.983,0.084,0.000611,0.007640000000000001,0.17500000000000002,0.375
0.873,0.64,0.262,0.0128,0.0,0.134,0.543
0.682,0.598,0.264,0.0575,0.0,0.299,0.8230000000000001
0.676,0.656,0.09,0.0298,0.0,0.192,0.41500000000000004
0.454,0.837,0.0734,0.000532,5.0400000000000005e-05,0.375,0.557
0.602,0.8210000000000001,0.0396,0.020200000000000003,0.042,0.11,0.28600000000000003
0.7030000000000001,0.6920000000000001,0.0412,0.004690000000000001,1.64e-06,0.12,0.491
0.67,0.896,0.058,0.0342,3.21e-05,0.34400000000000003,0.403
0.658,0.683,0.319,0.0651,0.0,0.2,0.178
0.764,0.644,0.030100000000000002,0.403,0.000205,0.137,0.842
0.8140000000000001,0.659,0.0811,0.00161,0.025400000000000002,0.499,0.13
0.898,0.58,0.26,0.010100000000000001,0.0,0.169,0.661
0.578,0.449,0.28600000000000003,0.0618,2.17e-06,0.11900000000000001,0.1
0.865,0.599,0.38,0.0006969999999999999,5.34e-06,0.336,0.551
0.883,0.674,0.357,0.21,0.0,0.0678,0.73
0.89,0.768,0.34900000000000003,0.047900000000000005,0.0,0.106,0.609
0.847,0.6990000000000001,0.0631,0.167,0.0,0.107,0.525
0.895,0.46900000000000003,0.0661,0.0012000000000000001,4.560000000000001e-05,0.192,0.076
0.66,0.764,0.326,0.0067,0.0,0.123,0.716
0.686,0.654,0.0936,0.433,0.0,0.108,0.663
0.498,0.516,0.20800000000000002,0.621,0.0,0.167,0.336
0.784,0.778,0.057100000000000005,0.108,0.0,0.0606,0.734
0.707,0.6890000000000001,0.038700000000000005,0.025500000000000002,0.0,0.383,0.41000000000000003
0.801,0.633,0.293,0.10200000000000001,0.0,0.354,0.9450000000000001
0.925,0.579,0.128,0.311,0.0,0.11,0.462
0.666,0.465,0.26,0.050300000000000004,0.0,0.215,0.292
0.5690000000000001,0.405,0.0606,0.219,0.0,0.133,0.648
0.34500000000000003,0.612,0.0608,0.232,0.0,0.194,0.232
0.58,0.788,0.259,0.0123,1.84e-05,0.368,0.72
0.649,0.47800000000000004,0.156,0.658,0.0,0.131,0.468
0.7030000000000001,0.665,0.335,0.117,0.0,0.0719,0.72
0.675,0.245,0.029400000000000003,0.663,5.330000000000001e-05,0.11800000000000001,0.303
0.635,0.775,0.07150000000000001,0.307,3.03e-06,0.06860000000000001,0.5710000000000001
0.615,0.8170000000000001,0.261,0.061700000000000005,1.2600000000000001e-05,0.649,0.625
0.863,0.482,0.439,0.621,0.0,0.148,0.618
0.548,0.363,0.433,0.047,0.0,0.066,0.484
0.865,0.609,0.08850000000000001,0.0103,0.000753,0.14300000000000002,0.128
0.605,0.548,0.41000000000000003,0.171,0.0,0.09870000000000001,0.58
0.6920000000000001,0.578,0.049600000000000005,0.429,0.0,0.161,0.259
0.512,0.9410000000000001,0.505,0.042800000000000005,9.28e-05,0.895,0.549
0.335,0.47000000000000003,0.034300000000000004,0.36,0.0,0.114,0.186
0.841,0.527,0.149,0.0427,1.5399999999999999e-06,0.12,0.582
0.676,0.742,0.138,0.0785,2.4100000000000003e-05,0.147,0.398
0.763,0.666,0.359,0.17400000000000002,0.0,0.108,0.6900000000000001
0.801,0.711,0.38,0.0523,0.0,0.268,0.419
0.855,0.488,0.20800000000000002,0.506,0.0,0.34700000000000003,0.619
0.586,0.559,0.05,0.639,0.0,0.0872,0.437
0.6890000000000001,0.594,0.0584,0.030100000000000002,0.0,0.10200000000000001,0.653
0.55,0.296,0.034300000000000004,0.628,0.0,0.0727,0.41500000000000004
0.456,0.615,0.0529,0.614,0.0,0.0908,0.41600000000000004
0.518,0.704,0.368,0.08660000000000001,0.0,0.34600000000000003,0.7020000000000001
0.885,0.332,0.848,0.018500000000000003,0.0,0.11900000000000001,0.423
0.842,0.505,0.402,0.47200000000000003,0.00032199999999999997,0.117,0.538
0.925,0.322,0.112,0.10300000000000001,0.0,0.137,0.712
0.6900000000000001,0.521,0.0471,0.5640000000000001,8.380000000000001e-06,0.0917,0.332
0.391,0.488,0.0354,0.159,0.0,0.152,0.314
0.538,0.802,0.0649,0.0222,0.029900000000000003,0.433,0.149
0.532,0.874,0.328,0.17500000000000002,0.0,0.0867,0.358
0.785,0.768,0.131,0.0794,0.0,0.0716,0.548
0.714,0.766,0.036500000000000005,0.09570000000000001,0.0018300000000000002,0.059500000000000004,0.665
0.6900000000000001,0.9490000000000001,0.379,0.124,0.0,0.0429,0.757
0.63,0.625,0.34900000000000003,0.163,0.0,0.10400000000000001,0.436
0.658,0.445,0.154,0.161,0.0,0.0845,0.513
0.441,0.202,0.0381,0.732,2.6000000000000002e-05,0.126,0.269
0.841,0.394,0.443,0.006560000000000001,0.0,0.275,0.583
0.796,0.538,0.37,0.038900000000000004,0.0,0.106,0.585
0.8160000000000001,0.489,0.328,0.336,0.0,0.10400000000000001,0.36
0.516,0.635,0.0347,0.0324,0.0018700000000000001,0.0674,0.704
0.834,0.48,0.321,0.41500000000000004,3.32e-05,0.168,0.5670000000000001
0.888,0.763,0.301,0.0337,0.0,0.17,0.67
0.651,0.786,0.0761,0.0035,6.99e-05,0.179,0.41400000000000003
0.46,0.8250000000000001,0.296,0.451,0.0,0.08650000000000001,0.515
0.419,0.269,0.0356,0.626,1.83e-05,0.116,0.152
